2015.admissions.act_scores.midpoint.cumulative,2015.admissions.admission_rate.overall,2015.admissions.sat_scores.average.overall,2015.aid.federal_loan_rate,2015.aid.median_debt.completers.overall,2015.aid.pell_grant_rate,2015.completion.completion_rate_4yr_150nt,2015.cost.attendance.academic_year,2015.earnings.10_yrs_after_entry.not_working_not_enrolled.overall,2015.student.FAFSA_applications,2015.student.family_income.overall,2015.student.parents_education_level,2015.student.size,school.faculty_salary,school.ft_faculty_rate,school.instructional_expenditure_per_fte,school.name,school.ownership,school.region_id,school.state_fips,school.tuition_revenue_per_fte
22.0,0.596,1013.0,0.6789,,0.4747,0.6056,28363.0,,249.0,249.0,233.0,506.0,5352.0,0.9787,5307,Lincoln Christian University,2,3,17,9662
28.0,0.6191,1249.0,0.616,27000.0,0.1939,0.8298,52548.0,,620.0,620.0,602.0,1834.0,8084.0,0.7162,17242,Illinois Wesleyan University,2,3,17,20087
,0.638,,0.6305,27000.0,0.3317,0.7737,50974.0,,566.0,566.0,522.0,1377.0,7434.0,0.9541,12717,Knox College,2,3,17,17081
23.0,0.5031,1047.0,0.7607,24951.0,0.4265,0.4986,37972.0,,877.0,877.0,785.0,1447.0,4155.0,0.6166,9279,Concordia University-Chicago,2,3,17,14198
19.0,0.3887,911.0,0.6226,17250.0,0.5305,,22543.0,,2332.0,2332.0,1954.0,3526.0,7568.0,0.531,14251,Governors State University,1,3,17,7770
,,,0.4493,25500.0,0.3631,0.5859,31139.0,,259.0,259.0,244.0,579.0,6532.0,1.0,11191,Wesleyan College,2,5,13,10820
,0.7016,,0.3119,15000.0,0.3439,0.2927,12717.0,,1198.0,1198.0,1055.0,2517.0,8767.0,0.5976,11095,University of Hawaii-West Oahu,1,8,15,5425
,,,0.5641,15000.0,0.2949,,,,117.0,117.0,,244.0,5932.0,1.0,10995,Blessing Rieman College of Nursing and Health Sciences,2,3,17,10765
22.0,0.57,995.0,0.6998,23736.0,0.4737,0.4545,32927.0,,806.0,806.0,743.0,1284.0,6172.0,0.4907,8093,Piedmont College,2,5,13,9147
21.0,0.7596,978.0,0.7065,27000.0,0.4931,0.5087,47192.0,,1069.0,1069.0,982.0,2163.0,7247.0,0.7523,10972,Morehouse College,2,5,13,12819
20.0,0.9076,953.0,0.5855,23190.0,0.4303,0.3504,32620.0,,831.0,831.0,770.0,1238.0,5448.0,0.3053,7124,Reinhardt University,2,5,13,11330
,1.0,,0.0,,0.3467,0.5,37300.0,,16.0,16.0,,64.0,3941.0,0.6296,10301,Saint John Vianney College Seminary,2,5,12,32706
,0.7643,,0.4078,19000.0,0.3174,0.6085,23996.0,,11403.0,11403.0,10535.0,32964.0,10499.0,0.7433,11633,University of Arizona,1,6,4,13981
26.0,0.6006,1154.0,0.3998,21500.0,0.2295,0.6249,21288.0,,6964.0,6964.0,6606.0,21815.0,9169.0,0.8733,9362,University of Arkansas,1,5,5,7866
23.0,0.7816,1045.0,0.5745,24500.0,0.4003,0.3605,19654.0,,5004.0,5004.0,4625.0,11379.0,7179.0,0.628,10307,University of South Alabama,1,5,1,7986
25.0,0.992,1135.0,0.5576,27000.0,0.2584,0.6379,27205.0,,1545.0,1545.0,1490.0,4450.0,7200.0,0.7634,9673,Harding University,2,5,5,13101
21.0,0.6334,988.0,0.6087,19500.0,0.5452,0.3371,19037.0,,1853.0,1853.0,1676.0,3096.0,6427.0,0.9898,7040,Henderson State University,1,5,5,3282
18.0,0.6538,850.0,0.8159,35000.0,0.7249,0.3081,20809.0,,2847.0,2847.0,2539.0,4505.0,7017.0,0.7096,7941,Alabama A & M University,1,5,1,9657
25.0,0.6043,1147.0,0.5218,21500.0,0.3505,0.5462,22232.0,,4961.0,4961.0,4598.0,11269.0,10221.0,0.9081,17548,University of Alabama at Birmingham,1,5,1,10263
25.0,0.3441,1130.0,0.3375,15349.0,0.3764,0.6806,20977.0,,9307.0,9307.0,8130.0,28649.0,9532.0,0.5236,7098,San Diego State University,1,8,6,7103
22.0,0.4186,1024.0,0.306,15000.0,0.4429,0.6192,16337.0,,12209.0,12209.0,9856.0,33009.0,8854.0,0.4785,7752,California State University-Fullerton,1,8,6,5731
,0.4669,,0.4765,26250.0,0.3059,0.7059,56722.0,,55.0,55.0,,157.0,11176.0,1.0,24589,San Francisco Conservatory of Music,2,8,6,24661
26.0,0.6436,1172.0,0.4678,25000.0,0.2535,0.713,59603.0,,2086.0,2086.0,1939.0,6682.0,12851.0,0.4051,16055,University of San Francisco,2,8,6,27182
,0.6875,,0.3885,13168.0,0.6123,0.3883,16154.0,,4095.0,4095.0,3234.0,8068.0,8455.0,0.5996,6446,California State University-Bakersfield,1,8,6,2924
29.0,0.3264,1248.0,0.4025,16451.0,0.3806,0.8098,34496.0,,6453.0,6453.0,5518.0,20606.0,14327.0,0.8368,11639,University of California-Santa Barbara,1,8,6,13678
,,,0.7788,18750.0,0.625,,,,95.0,95.0,81.0,78.0,8504.0,0.2968,10479,California Institute of Integral Studies,2,8,6,18390
32.0,0.1688,1397.0,0.2602,14200.0,0.3114,0.9158,33993.0,,6638.0,6638.0,5883.0,27496.0,15711.0,0.706,21934,University of California-Berkeley,1,8,6,18432
,0.7403,,0.3703,16332.0,0.4747,0.4513,19842.0,,5803.0,5803.0,4700.0,12981.0,9036.0,0.4281,7227,California State University-East Bay,1,8,6,6597
,0.7063,,0.3694,15000.0,0.5953,0.5489,16594.0,,3906.0,3906.0,2973.0,8093.0,8378.0,0.5307,8276,California State University-Stanislaus,1,8,6,4671
24.0,0.809,1080.0,0.6249,22500.0,0.3427,0.6841,46441.0,,3966.0,3966.0,3551.0,5883.0,9217.0,0.3977,9984,Azusa Pacific University,2,8,6,18037
18.0,0.6459,887.0,0.4088,16500.0,0.6163,0.5208,16138.0,,8055.0,8055.0,6273.0,17518.0,8663.0,0.483,6913,California State University-San Bernardino,1,8,6,3870
22.0,0.6345,1003.0,0.4516,17000.0,0.435,0.637,21756.0,,6225.0,6225.0,5267.0,15903.0,8733.0,0.5273,6918,California State University-Chico,1,8,6,4819
,0.2493,,0.5649,28500.0,0.3082,0.5625,62437.0,,311.0,311.0,296.0,942.0,6552.0,0.5813,21405,California Institute of the Arts,2,8,6,28507
,0.5581,,0.3666,14132.0,0.4818,0.229,13897.0,,2841.0,2841.0,2462.0,5754.0,6578.0,0.6168,5743,University of Arkansas-Fort Smith,1,5,5,2468
27.0,0.7376,1209.0,0.4603,21943.0,0.2846,0.6197,35706.0,,800.0,800.0,761.0,1684.0,6635.0,0.9675,7538,John Brown University,2,5,5,10708
26.0,0.933,1162.0,0.3287,22500.0,0.1373,0.7397,42270.0,,809.0,809.0,780.0,3145.0,8599.0,0.9944,14707,Samford University,2,5,1,18385
22.0,0.6313,988.0,0.6812,21500.0,0.5603,0.5424,35787.0,,1574.0,1574.0,1272.0,2342.0,6641.0,0.8783,6169,Fresno Pacific University,2,8,6,13674
,0.6617,,0.5769,25526.0,0.3238,0.5753,22023.0,,389.0,389.0,359.0,1072.0,8521.0,0.75,18783,California State University Maritime Academy,1,8,6,9465
,0.6074,,0.4092,31163.0,0.4894,0.3333,28780.0,,320.0,320.0,282.0,630.0,7504.0,0.1915,7697,Cogswell College,3,8,6,15703
23.0,0.6665,1062.0,0.6746,23250.0,0.4308,0.3107,20030.0,,2894.0,2894.0,2697.0,6625.0,6795.0,0.6952,7201,Jacksonville State University,1,5,1,6218
20.0,0.7347,930.0,0.6826,26489.0,0.5343,0.2883,17848.0,,1096.0,1096.0,996.0,1913.0,5938.0,0.5333,5557,University of West Alabama,1,5,1,8069
,,,0.8112,20967.5,0.6473,,,,507.0,507.0,342.0,543.0,5942.0,1.0,5491,Pacific Oaks College,2,8,6,17658
26.0,0.6456,1152.0,0.5601,24625.0,0.3738,0.6603,55473.0,,1437.0,1437.0,1255.0,3720.0,10663.0,0.5647,19706,University of the Pacific,2,8,6,31196
,,,0.732,18000.0,0.5876,,,,95.0,95.0,73.0,168.0,12164.0,0.3095,16568,Palo Alto University,2,8,6,24561
28.0,0.5078,1222.0,0.4516,21668.0,0.1957,0.7916,58531.0,,1890.0,1890.0,1792.0,6162.0,10292.0,0.5468,16208,Loyola Marymount University,2,8,6,30462
,,,0.6239,31368.0,0.6103,0.4242,21436.0,,346.0,346.0,252.0,438.0,6021.0,0.1118,4279,Humphreys University-Stockton and Modesto Campuses,2,8,6,12162
34.0,0.1296,1484.0,0.398,25540.5,0.1269,0.9179,66627.0,,191.0,191.0,,812.0,12984.0,0.875,32257,Harvey Mudd College,2,8,6,28947
,0.3727,,0.6409,26699.5,0.3959,0.6618,43806.0,,214.0,214.0,199.0,571.0,8247.0,0.1234,10390,Laguna College of Art and Design,2,8,6,18491
