2015.admissions.act_scores.midpoint.cumulative,2015.admissions.admission_rate.overall,2015.admissions.sat_scores.average.overall,2015.aid.federal_loan_rate,2015.aid.median_debt.completers.overall,2015.aid.pell_grant_rate,2015.completion.completion_rate_4yr_150nt,2015.cost.attendance.academic_year,2015.earnings.10_yrs_after_entry.not_working_not_enrolled.overall,2015.student.FAFSA_applications,2015.student.family_income.overall,2015.student.parents_education_level,2015.student.size,school.faculty_salary,school.ft_faculty_rate,school.instructional_expenditure_per_fte,school.name,school.ownership,school.region_id,school.state_fips,school.tuition_revenue_per_fte
,0.7214,,0.0,,0.0,,,,87.0,87.0,77.0,266.0,4893.0,1.0,15687,Antioch College,2,3,39,743
,1.0,,0.1029,,0.0,0.0,22823.0,,22.0,22.0,,55.0,6034.0,,24545,California Jazz Conservatory,2,8,6,36238
,,,0.5427,32813.0,0.5673,0.1675,22270.0,,101770.0,101770.0,81960.0,129139.0,5371.0,0.028,2126,University of Phoenix-Arizona,3,6,4,12246
,,,0.8675,,0.2692,,17882.0,,349.0,349.0,284.0,382.0,6646.0,0.0783,4178,Touro University Worldwide,2,8,6,11286
,,,0.7359,34891.0,0.6502,0.0,29544.0,,28672.0,28672.0,23190.0,4416.0,7074.0,0.0426,2140,Strayer University-Global Region,3,2,11,21003
,,,0.057,8000.0,0.0913,,17460.0,,76.0,76.0,65.0,896.0,3483.0,1.0,610,University of Management and Technology,3,5,51,4014
25.0,0.9508,1106.0,0.6308,25750.0,0.2821,0.6667,40178.0,,128.0,128.0,,206.0,7533.0,0.4,13589,John Paul the Great Catholic University,2,8,6,14229
,0.6833,,0.0,,0.3743,0.6864,26178.0,,855.0,855.0,801.0,3084.0,7933.0,0.4863,8861,Moody Bible Institute,2,3,17,6732
,,,0.8468,27000.0,0.474,,,,1029.0,1029.0,965.0,356.0,,,6657,Elizabethtown College School of Continuing and Professional Studies,2,2,42,9280
,,,0.7398,26000.0,0.5293,0.5,23678.0,,787.0,787.0,688.0,596.0,,0.0141,6535,Warner Pacific College Adult Degree Program,2,8,41,10539
,,,0.0,,0.1429,,19200.0,,,,,24.0,6276.0,,7939,Yeshiva College of the Nations Capital,2,2,24,2416
,0.2286,,0.0,,0.6327,,27414.0,,28.0,28.0,,49.0,4285.0,,8757,Yeshivas Be'er Yitzchok,2,2,34,8169
,1.0,,0.0,,0.4884,0.0313,17771.0,,59.0,59.0,,211.0,3657.0,0.5789,4838,Yeshiva Toras Chaim,2,2,34,9511
,0.9701,,0.0,,0.9565,0.4082,12900.0,,224.0,224.0,206.0,362.0,2523.0,1.0,1411,Talmudical Seminary of Bobov,2,2,36,9322
,,,0.8678,,0.7769,1.0,13100.0,,70.0,70.0,55.0,133.0,,,1308,Huntsville Bible College,2,5,1,1277
,0.4643,,0.0,,0.4414,0.0769,15000.0,,22.0,22.0,,104.0,3953.0,,2839,Bais Medrash Toras Chesed,2,2,34,4467
20.0,0.9412,970.0,0.8435,20500.0,0.5391,0.5,27087.0,,56.0,56.0,,109.0,3711.0,0.3636,10313,Visible Music College,2,5,47,18356
,,,0.2679,,0.369,0.5,20596.0,,42.0,42.0,,99.0,6835.0,1.0,11592,University of the West,2,8,6,9514
,,,0.0496,,0.4539,0.8,20725.0,,41.0,41.0,24.0,137.0,3586.0,,4011,World Mission University,2,8,6,7764
,0.45,,0.2652,16875.0,0.1902,,,,2000.0,2000.0,1844.0,1821.0,4881.0,1.0,2344,Central Methodist University-College of Graduate and Extended Studies,2,4,29,3887
,,,0.9732,44000.0,0.9815,0.9545,11190.0,,554.0,554.0,340.0,971.0,3458.0,,2427,Apex School of Theology,2,5,37,6
,0.6,,0.3333,,0.625,0.0,23025.0,,10.0,10.0,,17.0,667.0,,3045,Family of Faith Christian University,2,6,40,1125
,0.8333,,0.524,33332.0,0.4487,0.6,46040.0,,3946.0,3946.0,3423.0,1449.0,8270.0,0.3554,8939,West Coast University-Los Angeles,3,8,6,29643
,,,0.3871,12830.0,0.2581,0.6667,16535.0,,15.0,15.0,,59.0,1083.0,,3077,Williamson Christian College,2,5,47,10048
,,,0.5801,,0.1169,0.3333,25000.0,,139.0,139.0,105.0,162.0,2098.0,0.2273,5588,Epic Bible College,2,8,6,12552
,,,0.2936,,0.0,,,,30.0,30.0,,73.0,,,2495,National Graduate School of Quality Management,2,1,25,10787
,,,0.0,,0.4615,0.1667,,,27.0,27.0,,31.0,3705.0,,7626,Yeshivah Gedolah Rabbinical College,2,5,12,6450
25.0,0.9048,1073.0,0.5877,31000.0,0.4545,0.4,24109.0,,283.0,283.0,261.0,538.0,7681.0,0.0495,3652,The King's University,2,6,48,10259
,,,0.2602,,0.3903,0.7692,19118.0,,132.0,132.0,116.0,279.0,2732.0,0.1919,4738,Bethesda University,2,8,6,6180
,,,0.25,,0.7143,0.6,23305.0,,31.0,31.0,,53.0,2707.0,,3263,International Baptist College and Seminary,2,6,4,5843
,,,0.0,,0.0667,,,,,,,15.0,3500.0,0.1471,3292,Pacific States University,2,8,6,13864
,0.6,,0.6198,19500.0,0.3264,0.75,35030.0,,166.0,166.0,154.0,217.0,6251.0,0.8421,8903,Trinity College of Nursing & Health Sciences,2,3,17,19130
,1.0,,0.0,,0.3333,0.1818,18200.0,,16.0,16.0,,98.0,2917.0,,16609,Rabbi Jacob Joseph School,2,2,34,9656
19.0,0.242,898.0,0.4632,11326.0,0.5263,0.4118,21902.0,,249.0,249.0,221.0,342.0,3424.0,0.2647,3278,Piedmont International University,2,5,37,6329
,,,0.2632,,0.2632,0.6667,27498.0,,11.0,11.0,,45.0,800.0,,628,Christian Life College,2,3,17,6160
,1.0,,0.8248,37290.0,0.573,,28515.0,,149.0,149.0,129.0,251.0,8991.0,0.3654,13033,American University of Health Sciences,3,8,6,23531
,1.0,,0.7368,,0.7105,,11195.0,,25.0,25.0,,36.0,,,8044,San Juan Bautista School of Medicine,2,9,72,20200
,0.3889,,0.0,,0.9245,0.4,23114.0,,29.0,29.0,,57.0,2500.0,,7773,Yeshiva D'monsey Rabbinical College,2,2,36,6192
,,,0.0769,26488.0,0.0769,0.4,,,124.0,124.0,109.0,28.0,,0.0,17219,Schiller International University,3,5,12,48524
18.0,0.4639,844.0,0.7692,32091.0,0.7567,0.2696,18100.0,,2489.0,2489.0,2199.0,4740.0,7940.0,0.6395,7742,Alabama State University,1,5,1,7717
27.0,0.812,1221.0,0.4589,23500.0,0.3179,0.4935,20999.0,,2174.0,2174.0,2030.0,5829.0,9514.0,0.6173,10619,University of Alabama in Huntsville,1,5,1,8917
21.0,0.7871,990.0,0.5584,22192.5,0.4373,0.2038,18665.0,,2186.0,2186.0,1989.0,4142.0,7588.0,0.9539,6815,Auburn University at Montgomery,1,5,1,8039
21.0,0.9275,988.0,0.5059,18000.0,0.4963,0.2586,15177.0,,3431.0,3431.0,3113.0,6788.0,6420.0,0.6751,8487,Northeastern State University,1,6,40,4564
21.0,0.46,970.0,0.4033,16878.0,0.4472,0.3553,13363.0,,1638.0,1638.0,1492.0,3546.0,5476.0,1.0,7604,East Central University,1,6,40,4917
23.0,0.7795,1043.0,0.5059,22983.0,0.4397,0.3143,18962.0,,10846.0,10846.0,9787.0,23921.0,9387.0,0.7288,7162,The University of Texas at San Antonio,1,6,48,7944
26.0,0.5972,1154.0,0.3997,19750.0,0.3838,0.5097,23267.0,,12930.0,12930.0,11111.0,33300.0,10881.0,0.8442,7737,University of Houston,1,6,48,10081
25.0,0.6306,1134.0,0.4637,22500.0,0.2808,0.5992,21869.0,,10088.0,10088.0,9348.0,28868.0,9058.0,0.8565,6978,Texas Tech University,1,6,48,9168
29.0,0.3924,1297.0,0.3614,22250.0,0.2476,0.7965,26119.0,,8976.0,8976.0,8393.0,39057.0,11472.0,0.8965,17168,The University of Texas at Austin,1,6,48,10243
20.0,0.8237,937.0,0.5912,19636.0,0.5357,0.3275,20969.0,,5050.0,5050.0,4362.0,5630.0,7627.0,0.766,6295,Texas A & M University-Kingsville,1,6,48,6996
20.0,0.8592,941.0,0.5351,20000.0,0.4544,0.4131,17565.0,,4773.0,4773.0,4067.0,9395.0,8208.0,0.9865,7568,Texas Woman's University,1,6,48,5879
20.0,0.8449,965.0,0.2122,13655.0,0.2313,0.3988,14482.0,,1960.0,1960.0,1693.0,3527.0,7630.0,0.504,8107,The University of Texas of the Permian Basin,1,6,48,4142
30.0,0.4803,1294.0,0.5484,25500.0,0.1687,0.8268,50550.0,,542.0,542.0,518.0,2213.0,10269.0,0.8062,16530,Trinity University,2,6,48,17539
,0.7,,0.2241,,0.8103,0.5,,,31.0,31.0,,65.0,3099.0,0.6667,7559,Baptist Missionary Association Theological Seminary,2,6,48,5707
28.0,0.4367,1239.0,0.4762,25000.0,0.1983,0.7042,53892.0,,3923.0,3923.0,3748.0,14139.0,9264.0,0.7987,13998,Baylor University,2,6,48,21692
,,,0.6908,28000.0,0.6244,0.3856,18181.0,,4065.0,4065.0,3541.0,7255.0,7124.0,0.7345,9576,Tennessee State University,1,5,47,7677
,,,0.5609,26500.0,0.3743,0.5765,30707.0,,971.0,971.0,917.0,2537.0,4631.0,1.0,9667,Southern Adventist University,2,5,47,14949
25.0,0.4992,1092.0,0.5164,25325.0,0.263,0.6088,42942.0,,1463.0,1463.0,1388.0,3695.0,7739.0,0.8213,9390,Abilene Christian University,2,6,48,14197
22.0,0.5779,1035.0,0.64,21380.0,0.5006,0.5748,22241.0,,544.0,544.0,509.0,879.0,5283.0,1.0,6107,Johnson University,2,5,47,8934
24.0,0.9185,1101.0,0.6014,26000.0,0.3174,0.5778,32346.0,,586.0,586.0,537.0,1260.0,6367.0,0.9604,6308,Freed-Hardeman University,2,5,47,9938
30.0,0.4687,1306.0,0.3954,26217.0,0.1374,0.8267,55135.0,,508.0,508.0,497.0,2031.0,8183.0,0.8673,15103,Rhodes College,2,5,47,19687
22.0,0.7305,1001.0,0.6737,25485.5,0.3408,0.6188,23329.0,,3463.0,3463.0,3195.0,6952.0,9554.0,0.6576,8926,Millersville University of Pennsylvania,1,2,42,8402
22.0,0.6836,999.0,0.7235,25000.0,0.3225,0.6799,22341.0,,3798.0,3798.0,3539.0,7461.0,9348.0,0.8432,7642,Slippery Rock University of Pennsylvania,1,2,42,7326
,0.8039,,0.7055,26698.5,0.298,0.6507,45372.0,,1774.0,1774.0,1638.0,2490.0,7627.0,0.5714,13452,Mercyhurst University,2,2,42,13436
21.0,0.8914,979.0,0.7126,25000.0,0.3129,0.5666,23988.0,,3241.0,3241.0,2976.0,5953.0,9986.0,0.803,9105,Shippensburg University of Pennsylvania,1,2,42,7611
23.0,0.7369,1045.0,0.7223,27000.0,0.305,0.6306,54936.0,,844.0,844.0,798.0,1675.0,6723.0,1.0,13130,The University of the Arts,2,2,42,21611
24.0,0.7412,1060.0,0.6655,27000.0,0.2818,0.7192,45922.0,,849.0,849.0,808.0,1714.0,6735.0,1.0,8675,Saint Francis University,2,2,42,14113
22.0,0.7271,997.0,0.5672,21500.0,0.4306,0.4925,20001.0,,7257.0,7257.0,6425.0,17401.0,7410.0,0.7709,6178,Sam Houston State University,1,6,48,7692
18.0,0.8595,857.0,0.7689,28955.0,0.6604,0.3407,20794.0,,4142.0,4142.0,3622.0,6925.0,7364.0,0.7905,7039,Prairie View A & M University,1,6,48,5901
25.0,0.7745,1135.0,0.5518,25271.5,0.3477,0.6318,49239.0,,1527.0,1527.0,1407.0,4018.0,8262.0,0.4442,10304,Saint Edward's University,2,6,48,23078
18.0,0.7997,842.0,0.5436,16200.0,0.5847,0.2112,19773.0,,1341.0,1341.0,1129.0,2140.0,5956.0,0.7006,6406,Sul Ross State University,1,6,48,3737
30.0,0.4895,1330.0,0.2849,21500.0,0.1516,0.7894,63364.0,,1065.0,1065.0,1007.0,6348.0,11969.0,0.6767,16322,Southern Methodist University,2,6,48,27099
25.0,0.7803,1103.0,0.398,22000.0,0.3296,0.581,40040.0,,557.0,557.0,487.0,1720.0,6866.0,1.0,12364,University of St Thomas,2,6,48,17057
22.0,0.9014,997.0,0.6921,25000.0,0.4435,0.4014,35300.0,,699.0,699.0,645.0,1124.0,6145.0,0.5968,7598,Schreiner University,2,6,48,13389
20.0,0.4851,904.0,0.6738,26000.0,0.5282,0.4454,29490.0,,442.0,442.0,390.0,724.0,6175.0,0.5146,9100,Southwestern Adventist University,2,6,48,13728
22.0,0.4191,1055.0,0.6222,21750.0,0.2898,0.5771,35589.0,,1374.0,1374.0,1287.0,3220.0,8306.0,1.0,9117,Dallas Baptist University,2,6,48,16371
23.0,0.3323,1060.0,0.5568,24166.5,0.4733,0.3327,38046.0,,1175.0,1175.0,1019.0,2240.0,6527.0,0.6148,6862,Houston Baptist University,2,6,48,13291
21.0,0.5532,982.0,0.7051,26000.0,0.4647,0.4588,34561.0,,780.0,780.0,726.0,1164.0,6342.0,1.0,8292,East Texas Baptist University,2,6,48,13222
22.0,0.7087,995.0,0.4943,14504.0,0.4871,,15670.0,,957.0,957.0,869.0,1397.0,8469.0,0.5694,10392,Texas A&M University-Texarkana,1,6,48,5827
18.0,0.5092,831.0,0.8285,28621.5,0.6214,0.2632,26321.0,,216.0,216.0,198.0,315.0,4544.0,0.449,5854,Dallas Christian College,2,6,48,11635
20.0,0.681,920.0,0.7524,24447.0,0.5812,0.374,35256.0,,1047.0,1047.0,906.0,1498.0,6816.0,0.3373,9665,Our Lady of the Lake University,2,6,48,17489
34.0,0.1596,1482.0,0.1666,10227.5,0.1546,0.9053,56316.0,,696.0,696.0,674.0,3879.0,14946.0,0.8034,39446,Rice University,2,6,48,20428
16.0,0.5987,772.0,0.9963,32115.5,0.9963,0.129,26782.0,,441.0,441.0,352.0,420.0,5128.0,0.2308,3547,Paul Quinn College,2,6,48,11322
,0.5317,,0.5146,17529.0,0.4548,,18462.0,,1711.0,1711.0,1436.0,2954.0,8282.0,0.5922,7963,University of Houston-Victoria,1,6,48,5948
22.0,0.8214,998.0,0.5629,27174.5,0.3957,0.4222,38243.0,,1076.0,1076.0,947.0,1672.0,6657.0,0.9853,5993,Concordia University-Texas,2,6,48,13841
,,,0.7301,34777.0,0.6449,0.2329,33784.0,,1091.0,1091.0,938.0,735.0,8262.0,0.6959,12606,South College,3,5,47,24866
23.0,0.6678,1052.0,0.4757,27000.0,0.4584,0.5263,43994.0,,688.0,688.0,651.0,1171.0,6559.0,1.0,6678,Maryville College,2,5,47,11568
16.0,1.0,760.0,0.8598,30500.0,0.8151,0.1333,16951.0,,762.0,762.0,633.0,945.0,4815.0,0.4821,4415,Le Moyne-Owen College,2,5,47,10114
25.0,0.541,1165.0,0.7512,26000.0,0.2723,0.7312,48837.0,,481.0,481.0,453.0,1233.0,7047.0,1.0,12486,Austin College,2,6,48,15097
,,,0.6652,26001.0,0.5193,0.4783,18900.0,,131.0,131.0,121.0,184.0,3650.0,0.4324,4155,Arlington Baptist College,2,6,48,9893
29.0,0.4805,1290.0,0.1805,11000.0,0.3716,0.8041,17504.0,,5080.0,5080.0,4987.0,30221.0,10331.0,0.7398,14725,Brigham Young University-Provo,2,7,49,5629
21.0,0.6689,971.0,0.5163,20500.0,0.3925,0.3956,18621.0,,3585.0,3585.0,3211.0,7266.0,7573.0,0.7494,7339,West Texas A & M University,1,6,48,6369
22.0,0.8205,1005.0,0.7738,25000.0,0.2542,0.5485,43251.0,,1053.0,1053.0,978.0,1991.0,7604.0,0.5593,9852,Shenandoah University,2,5,51,16712
22.0,0.6848,999.0,0.5709,25000.0,0.2708,0.4961,41689.0,,1006.0,1006.0,911.0,2305.0,8249.0,0.4404,9746,Marymount University,2,5,51,20043
24.0,0.9667,1084.0,0.3339,13610.0,0.3679,0.4869,16702.0,,8318.0,8318.0,7849.0,22265.0,8652.0,0.9519,8488,Utah State University,1,7,49,5546
,,,0.2499,15000.0,0.2803,0.3431,14681.0,,6364.0,6364.0,5892.0,16846.0,7386.0,0.9442,5423,Weber State University,1,7,49,4695
24.0,0.7895,1097.0,0.5137,23250.0,0.2857,0.6212,28631.0,,8518.0,8518.0,7907.0,22389.0,8788.0,0.6762,13870,Virginia Commonwealth University,1,5,51,11308
22.0,0.8491,994.0,0.7508,19500.0,0.4971,0.3871,14021.0,,996.0,996.0,925.0,2113.0,6273.0,0.6209,5499,Concord University,1,5,54,3024
,0.6242,,0.6051,26000.0,0.2608,0.7495,49981.0,,1154.0,1154.0,1089.0,2320.0,6890.0,0.963,9924,Whitworth University,2,8,53,16961
23.0,0.8578,1050.0,0.6211,24958.0,0.3685,0.4076,20825.0,,9696.0,9696.0,8773.0,20921.0,8196.0,0.6992,8829,University of Wisconsin-Milwaukee,1,3,55,8436
24.0,0.8581,1078.0,0.5235,24001.0,0.2559,0.5726,18460.0,,9752.0,9752.0,9176.0,21580.0,9389.0,0.7649,12485,West Virginia University,1,5,54,12382
22.0,0.8149,1030.0,0.4876,23748.0,0.2472,0.5091,17585.0,,3988.0,3988.0,3681.0,9955.0,7091.0,0.7159,7485,University of Wisconsin-Oshkosh,1,3,55,5633
23.0,0.9007,1050.0,0.6558,24360.0,0.3416,0.6366,16709.0,,3891.0,3891.0,3615.0,8733.0,6658.0,0.8094,6992,University of Wisconsin-Stevens Point,1,3,55,5892
23.0,0.8978,1050.0,0.5977,22725.0,0.3009,0.5713,17309.0,,2438.0,2438.0,2273.0,5286.0,7320.0,0.6459,7109,University of Wisconsin-River Falls,1,3,55,6213
,,,0.6524,27332.0,0.4579,0.2625,32243.0,,944.0,944.0,818.0,1190.0,5811.0,0.2424,5821,The Art Institute of Seattle,3,8,53,12014
26.0,0.8161,1145.0,0.6419,25603.5,0.2993,0.7141,49225.0,,1227.0,1227.0,1161.0,3216.0,8595.0,0.5539,10391,Seattle Pacific University,2,8,53,19740
27.0,0.7349,1205.0,0.4871,26394.0,0.1677,0.827,50369.0,,1441.0,1441.0,1405.0,4965.0,8849.0,0.5807,10189,Gonzaga University,2,8,53,20108
22.0,0.6371,996.0,0.7484,21532.5,0.3796,0.5131,37117.0,,949.0,949.0,852.0,912.0,6297.0,0.2205,10132,Northwest University,2,8,53,18076
,0.7922,,0.483,27000.0,0.1704,0.783,57877.0,,850.0,850.0,822.0,2476.0,9755.0,0.8548,19131,University of Puget Sound,2,8,53,29449
24.0,0.6615,1090.0,0.706,27000.0,0.322,0.5111,34867.0,,956.0,956.0,894.0,1852.0,6197.0,0.4,7112,Viterbo University,2,3,55,12495
27.0,0.7421,1219.0,0.4823,27000.0,0.1579,0.7974,49868.0,,2382.0,2382.0,2291.0,8143.0,9870.0,0.562,10674,Marquette University,2,3,55,22092
22.0,0.7688,1028.0,0.714,27000.0,0.4224,0.3684,37741.0,,831.0,831.0,729.0,1971.0,5524.0,0.1779,5553,Cardinal Stritch University,2,3,55,14460
24.0,0.9397,1087.0,0.7167,27000.0,0.2614,0.5867,40640.0,,1441.0,1441.0,1364.0,2946.0,6950.0,0.3402,5883,Carroll University,2,3,55,15159
28.0,0.6496,1248.0,0.6583,27000.0,0.265,0.6388,46504.0,,1038.0,1038.0,990.0,2668.0,8653.0,0.5095,11282,Milwaukee School of Engineering,2,3,55,16186
19.0,0.7716,910.0,0.8549,31693.5,0.5966,0.4156,33397.0,,822.0,822.0,700.0,1528.0,5723.0,0.4142,7876,Alverno College,2,3,55,18410
20.0,0.9409,927.0,0.5192,23250.0,0.4434,0.2846,14951.0,,1267.0,1267.0,1150.0,2033.0,6056.0,0.5577,5323,West Virginia State University,1,5,54,4433
21.0,0.721,984.0,0.5907,24617.0,0.387,0.4833,19176.0,,1055.0,1055.0,976.0,2014.0,6391.0,0.6347,5333,West Liberty University,1,5,54,5678
23.0,0.6072,1032.0,0.6639,27000.0,0.2452,0.5382,37708.0,,521.0,521.0,492.0,1024.0,5958.0,0.3649,7159,Wheeling Jesuit University,2,5,54,14824
,,,0.5771,17100.0,0.4086,,,,184.0,184.0,,227.0,6529.0,0.5281,17521,Bastyr University,2,8,53,25879
30.0,0.4272,1314.0,0.4793,17500.0,0.1008,0.8734,58228.0,,323.0,323.0,311.0,1443.0,8832.0,0.8052,20142,Whitman College,2,8,53,31527
25.0,0.9595,1124.0,0.4572,25000.0,0.2387,0.6216,41056.0,,897.0,897.0,849.0,2135.0,8363.0,1.0,11525,Westminster College,2,7,49,19174
18.0,0.9518,975.0,0.7106,23819.0,0.5028,0.3401,22173.0,,783.0,783.0,736.0,1285.0,6942.0,1.0,8697,Johnson State College,1,1,50,10960
24.0,0.3562,1098.0,0.1697,8759.0,0.24,0.5,14187.0,,726.0,726.0,709.0,2557.0,8801.0,1.0,13562,Brigham Young University-Hawaii,2,8,15,3364
18.0,0.9847,937.0,0.7191,26750.0,0.3908,0.3608,21069.0,,646.0,646.0,605.0,1160.0,6114.0,1.0,8292,Lyndon State College,1,1,50,12083
,0.6594,,0.6789,23000.0,0.3822,0.4101,47758.0,,317.0,317.0,297.0,581.0,6037.0,0.95,7584,Green Mountain College,2,1,50,14166
31.0,0.1744,1383.0,0.247,15889.0,0.1334,0.9436,61160.0,,546.0,546.0,494.0,2516.0,10741.0,0.8726,25142,Middlebury College,2,1,50,42652
31.0,0.2979,1364.0,0.2594,19500.0,0.1265,0.933,27010.0,,3159.0,3159.0,3038.0,15788.0,13262.0,0.9369,18233,University of Virginia-Main Campus,1,5,51,19859
,0.6789,,0.8222,27000.0,0.3882,0.5474,49857.0,,382.0,382.0,360.0,720.0,6166.0,1.0,19924,Cornish College of the Arts,2,8,53,26336
25.0,0.6637,1098.0,0.67,27000.0,0.2389,0.5773,48970.0,,646.0,646.0,622.0,1405.0,8001.0,0.6506,10081,Randolph-Macon College,2,5,51,16984
25.0,0.5284,1139.0,0.4759,25000.0,0.1406,0.7436,27040.0,,548.0,548.0,,1717.0,7605.0,1.0,13627,Virginia Military Institute,1,5,51,13309
32.0,0.2388,1395.0,0.2196,21500.0,0.0952,0.9087,61310.0,,278.0,278.0,,1844.0,12611.0,0.7749,32697,Washington and Lee University,2,5,51,27394
22.0,0.6941,1014.0,0.6867,27000.0,0.3267,0.5642,45968.0,,1016.0,1016.0,964.0,2064.0,7337.0,1.0,10910,Lynchburg College,2,5,51,15535
18.0,0.7295,881.0,0.9042,28000.0,0.5706,0.3145,42095.0,,963.0,963.0,878.0,1328.0,6037.0,1.0,6256,Ferrum College,2,5,51,13616
22.0,0.6171,1009.0,0.7473,23450.0,0.3297,0.6101,42346.0,,616.0,616.0,569.0,1194.0,6003.0,1.0,11033,Eastern Mennonite University,2,5,51,15621
,,,0.7705,25000.0,0.4053,0.5275,36434.0,,487.0,487.0,458.0,798.0,6840.0,0.4928,11473,Jefferson College of Health Sciences,2,5,51,18334
,0.7051,,0.8333,24612.5,0.6179,0.3043,33800.0,,188.0,188.0,155.0,228.0,4320.0,1.0,6661,College of St Joseph,2,1,50,9975
,0.5294,,0.2031,2750.0,0.8577,0.2805,11065.0,,3215.0,3215.0,2950.0,5011.0,4432.0,1.0,2542,Inter American University of Puerto Rico-Ponce,2,9,72,4669
,,,0.8602,29500.0,0.6441,0.3339,31816.0,,1446.0,1446.0,1188.0,1536.0,9451.0,0.5688,6557,The Art Institute of Philadelphia,3,2,42,14157
22.0,0.7425,998.0,0.8247,27000.0,0.398,0.5122,41838.0,,1295.0,1295.0,1146.0,2177.0,6806.0,1.0,6910,Alvernia University,2,2,42,17872
,0.6196,1195.0,0.4992,24313.0,0.1998,0.7819,54140.0,,1252.0,1252.0,1204.0,3741.0,7826.0,0.5676,10533,University of Portland,2,8,41,20813
,0.9314,,0.752,26117.0,0.4595,0.3762,33349.0,,1316.0,1316.0,1196.0,2305.0,6789.0,0.2158,3699,Tiffin University,2,3,39,10764
22.0,0.8797,1007.0,0.8499,28000.0,0.432,0.4421,37241.0,,357.0,357.0,320.0,641.0,5844.0,0.3119,13634,Ursuline College,2,3,39,18639
,0.803,,0.7471,27833.5,0.3157,0.6012,37284.0,,1027.0,1027.0,996.0,2156.0,6075.0,1.0,7743,Walsh University,2,3,39,12892
,0.8889,,0.0,,0.5,0.375,18871.0,,21.0,21.0,,38.0,2984.0,0.875,9398,Rabbinical College Telshe,2,3,39,10012
26.0,0.7888,1165.0,0.7269,22000.0,0.2262,0.7945,34928.0,,841.0,841.0,821.0,2036.0,7553.0,1.0,7813,Franciscan University of Steubenville,2,3,39,15296
18.0,0.4205,856.0,0.8946,29613.5,0.9463,0.109,28200.0,,779.0,779.0,671.0,805.0,4085.0,0.1979,4243,Bacone College,2,6,40,5377
21.0,0.9295,966.0,0.8217,27000.0,0.4342,0.518,41153.0,,803.0,803.0,763.0,1112.0,5859.0,0.9722,6247,Wilmington College,2,3,39,10976
,0.8235,,0.3411,20500.0,0.1473,0.6667,37638.0,,25.0,25.0,,111.0,4777.0,1.0,12526,Pontifical College Josephinum,2,3,39,18020
,0.4683,,0.4125,27000.0,0.1458,0.8046,62786.0,,58.0,58.0,,239.0,8620.0,0.3786,25082,Cleveland Institute of Music,2,3,39,26697
22.0,0.6408,1028.0,0.6102,21500.0,0.4253,0.3878,21932.0,,6180.0,6180.0,5580.0,11658.0,8933.0,0.4844,8795,Cleveland State University,1,3,39,10866
,,,0.6409,25000.0,0.4399,0.0594,30773.0,,2754.0,2754.0,2469.0,4049.0,8838.0,0.0743,3850,Franklin University,2,3,39,13793
22.0,0.6521,984.0,0.7888,27000.0,0.4223,0.414,42239.0,,484.0,484.0,467.0,658.0,5731.0,0.4494,7129,Defiance College,2,3,39,13682
21.0,0.5357,972.0,0.7563,27000.0,0.3691,0.4553,42219.0,,486.0,486.0,465.0,833.0,5867.0,0.9315,8648,Bluffton University,2,3,39,10799
,0.7662,,0.6996,27000.0,0.3713,0.6028,41230.0,,496.0,496.0,465.0,1107.0,6147.0,0.3575,10343,Columbus College of Art and Design,2,3,39,30630
,,,0.2093,,0.3289,0.4595,15171.0,,113.0,113.0,,244.0,1521.0,0.9091,7583,Gods Bible School and College,2,3,39,5558
24.0,0.6491,1083.0,0.7717,29000.0,0.4293,0.6818,53431.0,,293.0,293.0,276.0,600.0,5606.0,0.4259,13012,Cleveland Institute of Art,2,3,39,19697
22.0,0.6884,1029.0,0.7105,24819.0,0.3815,0.5723,37581.0,,739.0,739.0,697.0,1293.0,6281.0,0.5622,7065,Malone University,2,3,39,11516
21.0,0.6922,983.0,0.7105,30250.0,0.4973,0.2727,30085.0,,544.0,544.0,504.0,1171.0,6142.0,0.3495,10552,Lourdes University,2,3,39,16679
30.0,0.2563,1335.0,0.2839,19000.0,0.0956,0.8739,62160.0,,352.0,352.0,,1698.0,8573.0,0.97,21910,Kenyon College,2,3,39,28603
20.0,0.4814,950.0,0.3704,14315.0,0.3391,0.204,13513.0,,912.0,912.0,823.0,1815.0,4722.0,1.0,5828,Northwestern Oklahoma State University,1,6,40,3764
23.0,0.8391,1061.0,0.6679,25000.0,0.2674,0.6286,49531.0,,1216.0,1216.0,1139.0,1663.0,6888.0,0.9429,13261,Linfield College-McMinnville Campus,2,8,41,20650
21.0,0.9474,962.0,0.5535,20881.0,0.2905,0.4602,34500.0,,779.0,779.0,716.0,1216.0,5633.0,0.2823,9847,Oklahoma Wesleyan University,2,6,40,21851
,0.6283,,0.4181,24500.0,0.2084,0.7247,57656.0,,690.0,690.0,662.0,2087.0,9576.0,0.5362,16150,Lewis & Clark College,2,8,41,24475
26.0,0.6905,1158.0,0.6868,27000.0,0.2113,0.6938,42680.0,,991.0,991.0,957.0,2116.0,8235.0,0.8398,11808,Ohio Northern University,2,3,39,15286
21.0,0.739,984.0,0.6531,27000.0,0.391,0.5159,36381.0,,920.0,920.0,863.0,1580.0,7763.0,0.5,9178,Muskingum University,2,3,39,11798
19.0,0.9127,899.0,0.6022,27000.0,0.3018,0.3876,38167.0,,1102.0,1102.0,1029.0,1753.0,5373.0,0.9683,4944,Notre Dame College,2,3,39,11563
